Serial No.,Stocks allowed for MIS,Margin allowed,,Serial No.,Stocks not allowed for MIS,,Serial No.,Stocks which were allowed but temporarily banned,Reason
152,GPPL:EQ,3X,,153,BLUECOAST,,,,
153,GRANULES:EQ,3X,,154,BODHTREE,,,,
154,GRASIM:EQ,12.5X,,155,BOMDYEING,,,,
155,GREAVESCOT:EQ,3X,,156,BOROSIL,,,,
156,GSFC:EQ,12.5X,,157,BPL,,,,
157,GSKCONS:EQ,3X,,158,BRAHMINFRA,,,,
158,GSPL:EQ,3X,,159,BRFL,,,,
159,GUJALKALI:EQ,3X,,160,BRNL,,,,
160,GUJFLUORO:EQ,3X,,161,BROOKS,,,,
161,GUJGASLTD:EQ,3X,,162,BSELINFRA,,,,
162,HATHWAY:EQ,3X,,163,BSL,,,,
163,HAVELLS:EQ,12.5X,,164,BSLIMITED,,,,
164,HBLPOWER:EQ,3X,,165,BURNPUR,,,,
165,HCL-INSYS:EQ,3X,,166,BUTTERFLY,,,,
166,HCLTECH:EQ,12.5X,,167,BVCL,,,,
167,HDFC:EQ,12.5X,,168,CALSOFT,,,,
168,HDFCAMC:EQ,3X,,169,CALSREF,,,,
169,HDFCBANK:EQ,12.5X,,170,CAMPHOR,,,,
170,HEIDELBERG:EQ,3X,,171,CANDC,,,,
171,HDFCLIFE:EQ,3X,,172,CANTABIL,,,,
172,HEROMOTOCO:EQ,12.5X,,173,CAPLIPOINT,,,,
173,HEXAWARE:EQ,12.5X,,174,CAPTRUST,,,,
174,HGS:EQ,3X,,175,CAREERP,,,,
175,HIKAL:EQ,3X,,176,CASTEXTECH,,,,
176,HINDALCO:EQ,12.5X,,177,CCCL,,,,
177,HINDCOPPER:EQ,3X,,178,CCHHL,,,,
178,HINDPETRO:EQ,9X,,179,CEBBCO,,,,
179,HINDUNILVR:EQ,12.5X,,180,CELEBRITY,,,,
180,HINDZINC:EQ,12.5X,,181,CELESTIAL,,,,
181,HONAUT:EQ,3X,,182,CENLUB,,,,
182,HSCL:EQ,3X,,183,CENTEXT,,,,
183,HSIL:EQ,3X,,184,CHAMANS,,,,
184,HUDCO:EQ,3X,,185,CHANDNI,,,,
185,IBULHSGFIN:EQ,6.3X,,186,CHEMFABALKA,,,,
186,ICICIBANK:EQ,12.5X,,187,CHEMFALKAL-E,,,,
187,ICICIGI:EQ,3X,,188,CHEVIOT,,,,
188,ICICINIFTY:EQ,3X,,189,CHROMATIC,,,,
189,ICICIPRULI:EQ,9.1X,,190,CIGNITITEC,,,,
190,IDBI:EQ,12.5X,,191,CIMMCO,,,,
191,IDEA:EQ,5X,,192,CINELINE,,,,
192,IDFC:EQ,12.5X,,193,CINEVISTA,,,,
193,IDFCFIRSTB:EQ,12.5X,,194,CLARIS,,,,
194,IEX:EQ,3X,,195,CMAHENDRA,,,,
195,IFCI:EQ,12.5X,,196,COMCL,,,,
196,IGL:EQ,12.5X,,197,COMMEXTECH,,,,
197,INDHOTEL:EQ,3X,,198,COMPEAU,,,,
198,INDIACEM:EQ,12.5X,,199,COMPINFO,,,,
199,INDIANB:EQ,11X,,200,COMPUAGE,,,,
200,INDIGO:EQ,10X,,201,COMPUSOFT,,,,
201,INDUSINDBK:EQ,12.5X,,202,CONART,,,,
202,INFIBEAM:EQ,2.6X,,203,CORALFINAC,,,,
203,INFRATEL:EQ,12.5X,,204,CORPBANK,,,,
204,INFY:EQ,12.5X,,205,COSBOARD,,,,
205,INOXLEISUR:EQ,3X,,206,COSMOFE,,,,
206,INOXWIND:EQ,3X,,207,COSYN,,,,
207,INTELLECT:EQ,3X,,208,COUNCODOSGTL,,,,
208,IOB:EQ,3X,,209,CRANESSOFT,,,,
209,IOC:EQ,8.3X,,210,CRAVATEX,,,,
210,IPCALAB:EQ,3X,,211,CREST,,,,
211,IRB:EQ,11X,,212,CSLFINANCE,,,,
212,ITC:EQ,12.5X,,213,CTE,,,,
213,ITDCEM:EQ,3X,,214,CTL,,,,
214,JAGRAN:EQ,3X,,215,CUBEXTUB,,,,
215,JAICORPLTD:EQ,3X,,216,CUPIC,,,,
216,JAMNAAUTO:EQ,3X,,217,CYBERMEDIA,,,,
217,JAYAGROGN:EQ,3X,,218,CYBERTECH,,,,
218,JAYSREETEA:EQ,3X,,219,DBL,,,,
219,JETAIRWAYS:EQ,5.9X,,220,DCM,,,,
220,JINDALSTEL:EQ,11X,,221,DCW,,,,
221,JINDWORLD:EQ,3X,,222,DECNGOLD,,,,
222,JISLJALEQS:EQ,11X,,223,DELTACORP,,,,
223,JKCEMENT:EQ,3X,,224,DELTAMAGNT,,,,
224,JKPAPER:EQ,3X,,225,DENABANK,,,,
225,JKTYRE:EQ,3X,,226,DENORA,,,,
226,JMFINANCIL:EQ,3X,,227,DFMFOODS,,,,
227,JPASSOCIAT:EQ,5X,,228,DHARSUGAR,,,,
228,JSLHISAR:EQ,3X,,229,DHPIND,,,,
229,JSWENERGY:EQ,3X,,230,DHUNINV,,,,
230,JSWSTEEL:EQ,12.5X,,231,DIAPOWER,,,,
231,JUBILANT:EQ,3X,,232,DICIND,,,,
232,JUBLFOOD:EQ,5X,,233,DIGJAM,,,,
233,JUSTDIAL:EQ,10X,,234,DIGJAMLTD,,,,
234,JYOTHYLAB:EQ,3X,,235,DISHMAN,,,,
235,KAJARIACER:EQ,12.5X,,236,DNAMEDIA,,,,
236,KALPATPOWR:EQ,3X,,237,DOLPHINOFF,,,,
237,KANSAINER:EQ,3X,,238,DONEAR,,,,
238,KARURVYSYA:EQ,3X,,239,DQE,,,,
239,KEC:EQ,3X,,240,DSKULKARNI,,,,
240,KEI:EQ,3X,,241,DSSL,,,,
241,KILITCH:EQ,3X,,242,DUCON,,,,
242,KIRIINDUS:EQ,3X,,243,DUKEOFS,,,,
243,KOTAKBANK:EQ,12.5X,,244,DYNAMATECH,,,,
244,KOTAKNIFTY:EQ,3X,,245,DYNATECH,,,,
245,KPIT:EQ,5X,,246,EASTRED,,,,
246,KSCL:EQ,5X,,247,EASTSILK,,,,
247,KTKBANK:EQ,12.5X,,248,EASUNREYRL,,,,
248,L&TFH:EQ,11X,,249,ECEIND,,,,
249,LALPATHLAB:EQ,3X,,250,EDELWEISS,,,,
250,LIBERTSHOE:EQ,3X,,251,EDL,,,,
251,LICHSGFIN:EQ,12.5X,,252,EDUCOMP,,,,
252,LINCOLN:EQ,3X,,253,EIHAHOTELS,,,,
253,LIQUIDBEES:EQ,10X,,254,EIMCOELECO,,,,
254,LOVABLE:EQ,3X,,255,EKC,,,,
255,LT:EQ,12.5X,,256,ELDERPHARM,,,,
256,LUPIN:EQ,12.5X,,257,ELDERPHARM-BZ,,,,
257,M&M:EQ,12.5X,,258,ELECTHERM,,,,
258,M&MFIN:EQ,12.5X,,259,EMAMIINFRA,,,,
259,M50:EQ,3X,,260,EMCO,,,,
260,MAGMA:EQ,3X,,261,EMKAY,,,,
261,MAHINDCIE:EQ,3X,,262,EMMBI,,,,
262,MAHLOG:EQ,3X,,263,ENERGYDEV,,,,
263,MAHSEAMLES:EQ,3X,,264,EON,,,,
264,MAJESCO:EQ,3X,,265,EQ30,,,,
265,MANALIPETC:EQ,3X,,266,ESABINDIA,,,,
266,MANAPPURAM:EQ,12.5X,,267,ESL,,,,
267,MANGTIMBER:EQ,3X,,268,ESSARSHPNG,,,,
268,MANINDS:EQ,3X,,269,EUROCERA,,,,
269,MANINFRA:EQ,3X,,270,EUROTEXIND,,,,
270,MARICO:EQ,12.5X,,271,EVERESTIND,,,,
271,MARKSANS:EQ,3X,,272,EVERONN,,,,
272,MARUTI:EQ,12.5X,,273,EXCEL,,,,
273,MASFIN:EQ,3X,,274,EXCELINDUS,,,,
274,MASTEK:EQ,3X,,275,FACT,,,,
275,MCDOWELL-N:EQ,12.5X,,276,FAIRCHEM,,,,
276,MCX:EQ,12.5X,,277,FARMAXIND,,,,
277,MEGH:EQ,3X,,278,FAZE3Q,,,,
278,MFSL:EQ,12.5X,,279,FCL,,,,
279,MGL:EQ,12.5X,,280,FCSSOFT,,,,
280,MIDHANI:EQ,3X,,281,FEDDERELEC,,,,
281,MINDACORP:EQ,3X,,282,FERROALL,,,,
282,MINDAIND:EQ,3X,,283,FGP,,,,
283,MINDTREE:EQ,12.5X,,284,FILATEX,,,,
284,MMTC:EQ,3X,,285,FLEXITUFF,,,,
285,MOIL:EQ,3X,,286,FMGOETZE,,,,
286,MOLDTKPAC:EQ,3X,,287,FMNL,,,,
287,MOREPENLAB:EQ,3X,,288,FORBESCO,,,,
288,MOTHERSUMI:EQ,12.5X,,289,FORCEMOT,,,,
289,MPHASIS:EQ,3X,,290,FORTISMLR,,,,
290,MRF:EQ,12.5X,,291,FOSECOIND,,,,
291,MRPL:EQ,12.5X,,292,FRONT,,,,
292,MUKANDLTD:EQ,3X,,293,FRONTSP,,,,
293,MUNJALAU:EQ,3X,,294,FRSHTRP,,,,
294,MUTHOOTFIN:EQ,12.5X,,295,FUNNY,,,,
295,NATCOPHARM:EQ,3X,,296,GAL,,,,
296,NATIONALUM:EQ,12.5X,,297,GALLANTT,,,,
297,NAUKRI:EQ,3X,,298,GALLISPAT,,,,
298,NAVINFLUOR:EQ,3X,,299,GALXBRG,,,,
299,NAVNETEDUL:EQ,3X,,300,GAMMNINFRA,,,,
300,NBCC:EQ,12.5X,,301,GAMMONIDA,,,,
301,NCC:EQ,12.5X,,302,GAMMONIND,,,,
302,NESTLEIND:EQ,12.5X,,303,GANGESSECU,,,,
303,NETWORK18:EQ,3X,,304,GAYATRI,,,,
304,NFL:EQ,3X,,305,GEECEE,,,,
305,NH:EQ,3X,,306,GEMINI,,,,
306,NHPC:EQ,12.5X,,307,GENESYS,,,,
307,NIACL:EQ,3X,,308,GENNEX,,,,
308,NIFTYBEES:EQ,10X,,309,GENUSPAPER,,,,
309,NIITTECH:EQ,12.5X,,310,GILLANDERS,,,,
310,NLCINDIA:EQ,3X,,311,GINNIFILA,,,,
311,NMDC:EQ,12.5X,,312,GITANJALI,,,,
312,NOCIL:EQ,3X,,313,GKB,,,,
313,NRBBEARING:EQ,3X,,314,GKWLIMITED,,,,
314,NTPC:EQ,12.5X,,315,GLOBALVECT,,,,
315,OBEROIRLTY:EQ,3X,,316,GLOBOFFS,,,,
316,OFSS:EQ,12.5X,,317,GOACARBON,,,,
317,OIL:EQ,12.5X,,318,GOKEX,,,,
318,OMAXE:EQ,3X,,319,GOKUL,,,,
319,ONGC:EQ,12.5X,,320,GOKULAGRO,,,,
320,ORIENTBANK:EQ,12.5X,,321,GOLDENGOEN,,,,
321,ORIENTCEM:EQ,3X,,322,GOLDENTOBC,,,,
322,PAGEIND:EQ,12.5X,,323,GOLDIAM,,,,
323,PAPERPROD:EQ,3X,,324,GOLDINFRA,,,,
324,PARAGMILK:EQ,3X,,325,GOLDTECH,,,,
325,PATELENG:EQ,3X,,326,GOVINDRU,,,,
326,PCJEWELLER:EQ,7.1X,,327,GPIL,,,,
327,PEL:EQ,12.5X,,328,GPTINFRA,,,,
328,PERSISTENT:EQ,3X,,329,GRAPHITE,,,,
329,PETRONET:EQ,12.5X,,330,GRAVITA,,,,
330,PFC:EQ,11X,,331,GREENPOWER,,,,
331,PFIZER:EQ,3X,,332,GROBTEA,,,,
332,PGHH:EQ,3X,,333,GRUH,,,,
333,PHILIPCARB:EQ,3X,,334,GSCLCEMENT,,,,
334,PHOENIXLTD:EQ,3X,,335,GSS,,,,
335,PIDILITIND:EQ,12.5X,,336,GTLINFRA,,,,
336,PIIND:EQ,3X,,337,GTNIND,,,,
337,PNB:EQ,12.5X,,338,GTNTEX,,,,
338,PNBGILTS:EQ,3X,,339,GTOFFSHORE,,,,
339,PNBHOUSING:EQ,3X,,340,GTPL,,,,
340,POLYPLEX:EQ,3X,,341,GUFICBIO,,,,
341,POWERGRID:EQ,12.5X,,342,GUJAPOLLO,,,,
342,PRAJIND:EQ,3X,,343,GUJBOROS,,,,
343,PRESTIGE:EQ,3X,,344,GUJNRECOKE,,,,
344,PTC:EQ,12.5X,,345,GUJNREDVR,,,,
345,PURVA:EQ,3X,,346,GVKPIL,,,,
346,PVR:EQ,12.5X,,347,HANUNG,,,,
347,QUICKHEAL:EQ,3X,,348,HARITASEAT,,,,
348,RADICO:EQ,3X,,349,HARRMALAYA,,,,
349,RADIOCITY:EQ,3X,,350,HATSUN,,,,
350,RAJESHEXPO:EQ,3X,,351,HBSTOCK,,,,
351,RALLIS:EQ,3X,,352,HCC,,,,
352,RAMCOCEM:EQ,12.5X,,353,HCIL,,,,
353,RAMCOIND:EQ,3X,,354,HDIL,,,,
354,RAMKY:EQ,3X,,355,HEG,,,,
355,RAYMOND:EQ,12.5X,,356,HELIOSMATH,,,,
356,RBLBANK:EQ,12.5X,,357,HERCULES,,,,
357,RCF:EQ,3X,,358,HESTERBIO,,,,
358,RECLTD:EQ,12.5X,,359,HEXATRADEX,,,,
359,RELAXO:EQ,3X,,360,HFCL,,,,
360,RELCAPITAL:EQ,5X,,361,HIGHGROUND,,,,
361,RELIANCE:EQ,12.5X,,362,HIL,,,,
362,RELINFRA:EQ,5X,,363,HILTON,,,,
363,REPCOHOME:EQ,11X,,364,HIMIN,,,,
364,RICOAUTO:EQ,3X,,365,HINDADH,,,,
365,RIIL:EQ,3X,,366,HINDCOMPOS,,,,
366,RKFORGE:EQ,3X,,367,HINDDORROL,,,,
367,RPOWER:EQ,5X,,368,HINDNATGLS,,,,
368,SAIL:EQ,12.5X,,369,HINDSYNTEX,,,,
369,SAKUMA:EQ,3X,,370,HIRECT,,,,
370,SALASAR:EQ,3X,,371,HISARMETAL,,,,
371,SALZERELEC:EQ,3X,,372,HITECHCORP,,,,
372,SANGHIIND:EQ,3X,,373,HITECHGEAR,,,,
373,SANGHVIMOV:EQ,3X,,374,HITECHPLAS,,,,
374,SANOFI:EQ,3X,,375,HMT,,,,
375,SAREGAMA:EQ,3X,,376,HOCL,,,,
376,SBILIFE:EQ,3X,,377,HOTELEELA,,,,
377,SBIN:EQ,12.5X,,378,HOVS,,,,
378,SCHAEFFLER:EQ,3X,,379,HTMEDIA,,,,
379,SCHAND:EQ,3X,,380,HUBTOWN,,,,
380,SCHNEIDER:EQ,3X,,381,IBREALEST,,,,
381,SCI:EQ,3X,,382,IBULISL,,,,
382,SELAN:EQ,3X,,383,IBVENTUREPP,,,,
383,SEQUENT:EQ,3X,,384,IBVENTURES,,,,
384,SHARDAMOTR:EQ,3X,,385,IBVENTURES-E1,,,,
385,SHREECEM:EQ,12.5X,,386,IBWSL,,,,
386,SHRIRAMCIT:EQ,3X,,387,ICIL,,,,
387,SIEMENS:EQ,12.5X,,388,ICSA,,,,
388,SIMPLEXINF:EQ,3X,,389,IFBAGRO,,,,
389,SINTEX:EQ,3X,,390,IGARASHI,,,,
390,SIS:EQ,3X,,391,IGPL,,,,
391,SJVN:EQ,3X,,392,IIFL,,,,
392,SKFINDIA:EQ,3X,,393,IITL,,,,
393,SNOWMAN:EQ,3X,,394,IKFTECH,,,,
394,SOBHA:EQ,3X,,395,IL&FSENGG,,,,
395,SOLARINDS:EQ,3X,,396,IL&FSTRANS,,,,
396,SOUTHBANK:EQ,11X,,397,IMFA,,,,
397,SPARC:EQ,3X,,398,IMPEXFERRO,,,,
398,SPTL:EQ,3X,,399,INDBANK,,,,
399,SREINFRA:EQ,3X,,400,INDCEMCAP,,,,
400,SRF:EQ,5X,,401,INDIAGLYCO,,,,
401,SRTRANSFIN:EQ,11X,,402,INDIANCARD,,,,
402,STAR:EQ,3X,,403,INDIANHUME,,,,
403,STCINDIA:EQ,3X,,404,INDLMETER,,,,
404,STRTECH:EQ,3X,,405,INDNIPPON,,,,
405,SUNDARMFIN:EQ,3X,,406,INDOCO,,,,
406,SUNDRMFAST:EQ,3X,,407,INDOKEM,,,,
407,SUNPHARMA:EQ,9X,,408,INDORAMA,,,,
408,SUNTECK:EQ,3X,,409,INDOSOLAR,,,,
409,SUNTV:EQ,11X,,410,INDOTECH,,,,
410,SUPREMEIND:EQ,3X,,411,INDOTHAI,,,,
411,SUVEN:EQ,3X,,412,INDOWIND,,,,
412,SUZLON:EQ,5X,,413,INDSWFTLAB,,,,
413,SYNDIBANK:EQ,11X,,414,INDSWFTLTD,,,,
414,SYNGENE:EQ,3X,,415,INDTONER,,,,
415,TAKE:EQ,3X,,416,INFINITE,,,,
416,TALWALKARS:EQ,3X,,417,INFODRIVE,,,,
417,TATACHEM:EQ,12.5X,,418,INFOMEDIA,,,,
418,TATACOFFEE:EQ,3X,,419,INGERRAND,,,,
419,TATACOMM:EQ,12.5X,,420,INTEGRAEN,,,,
420,TATAELXSI:EQ,12.5X,,421,INTENTECH,,,,
421,TATAGLOBAL:EQ,12.5X,,422,IOLCP,,,,
422,TATAINVEST:EQ,3X,,423,IPOWER,,,,
423,TATAMOTORS:EQ,3X,,424,ISFT,,,,
424,TATAMTRDVR:EQ,3X,,425,ISMTLTD,,,,
425,TATAPOWER:EQ,12.5X,,426,ISTLTD,,,,
426,TATASPONGE:EQ,3X,,427,ISWLSKMEGGPROD,,,,
427,TATASTEEL:EQ,12.5X,,428,ITDC,,,,
428,TBZ:EQ,3X,,429,ITI,,,,
429,TCI:EQ,3X,,430,ITI,,,,
430,TCS:EQ,12.5X,,431,IVC,,,,
431,TECHM:EQ,12.5X,,432,IVP,,,,
432,TEJASNET:EQ,3X,,433,IVRCLINFRA,,,,
433,TEXMOPIPES:EQ,3X,,434,IZMO,,,,
434,TEXRAIL:EQ,3X,,435,JAGNSPHARM,,,,
435,THERMAX:EQ,3X,,436,JAIBALAJI,,,,
436,THOMASCOOK:EQ,3X,,437,JAIHINDPRO,,,,
437,THYROCARE:EQ,3X,,438,JAYBARMARU,,,,
438,TIFIN:EQ,3X,,439,JAYCH,,,,
439,TIMETECHNO:EQ,3X,,440,JAYNECOIND,,,,
440,TINPLATE:EQ,3X,,441,JBMA,,,,
441,TITAN:EQ,12.5X,,442,JCHAC,,,,
442,TNPETRO:EQ,3X,,443,JENSONICOL,,,,
443,TNPL:EQ,3X,,444,JHS,,,,
444,TORNTPHARM:EQ,12.5X,,445,JIKIND,,,,
